x_value,total_1,total_2
0,1000,1000
1,995,1002
2,998,1008
3,992,1011
4,995,1017
5,1003,1016
6,999,1012
7,1001,1013
8,1003,1018
9,1009,1020
10,1008,1026
11,1014,1026
12,1020,1032
13,1021,1029
14,1029,1031
15,1036,1029
16,1044,1035
17,1047,1039
18,1050,1045
19,1051,1043
20,1057,1044
21,1061,1043
22,1069,1038
23,1068,1036
24,1069,1042
25,1076,1043
26,1070,1047
27,1077,1049
28,1080,1054
29,1080,1057
30,1081,1062
31,1087,1067
32,1089,1070
33,1093,1072
34,1094,1067
35,1097,1067
36,1095,1068
37,1093,1064
38,1098,1068
39,1097,1069
40,1104,1065
41,1105,1069
42,1103,1073
43,1105,1074
44,1104,1080
45,1107,1084
46,1106,1090
47,1103,1092
48,1104,1097
49,1110,1100
50,1113,1103
51,1109,1102
52,1111,1102
53,1114,1100
54,1113,1101
55,1107,1102
56,1111,1102
57,1105,1105
58,1107,1110
59,1105,1115
60,1100,1113
61,1108,1118
62,1111,1115
63,1112,1116
64,1114,1112
65,1109,1114
66,1104,1117
67,1109,1117
68,1114,1113
69,1117,1109
70,1117,1114
71,1113,1119
72,1111,1114
73,1115,1110
74,1115,1116
75,1116,1121
76,1115,1116
77,1109,1122
78,1111,1123
79,1115,1121
80,1119,1118
81,1113,1117
82,1120,1112
83,1127,1110
84,1127,1107
85,1133,1111
86,1130,1113
87,1133,1112
88,1136,1115
89,1137,1111
90,1131,1113
91,1133,1116
92,1130,1114
93,1127,1112
94,1124,1115
95,1125,1116
96,1131,1116
97,1136,1120
98,1142,1126
99,1148,1128
100,1152,1127
101,1158,1133
102,1162,1137
103,1165,1140
104,1171,1139
105,1178,1136
106,1180,1141
107,1184,1146
108,1191,1145
109,1194,1142
110,1191,1148
111,1196,1152
112,1198,1150
113,1200,1155
114,1204,1157
115,1203,1157
