Company,Valuation,Date Joined,Industry,City,Country/Region,Continent,Year Founded,Funding,Select Investors
Bytedance,$180B,4/7/17,Artificial intelligence,Beijing,China,Asia,2012,$8B,"Sequoia Capital China, SIG Asia Investments, Sina Weibo, Softbank Group"
SpaceX,$100B,12/1/12,Other,Hawthorne,United States,North America,2002,$7B,"Founders Fund, Draper Fisher Jurvetson, Rothenberg Ventures"
SHEIN,$100B,7/3/18,E-commerce & direct-to-consumer,Shenzhen,China,Asia,2008,$2B,"Tiger Global Management, Sequoia Capital China, Shunwei Capital Partners"
Stripe,$95B,1/23/14,Fintech,San Francisco,United States,North America,2010,$2B,"Khosla Ventures, LowercaseCapital, capitalG"
Klarna,$46B,12/12/11,Fintech,Stockholm,Sweden,Europe,2005,$4B,"Institutional Venture Partners, Sequoia Capital, General Atlantic"
Canva,$40B,1/8/18,Internet software & services,Surry Hills,Australia,Oceania,2012,$572M,"Sequoia Capital China, Blackbird Ventures, Matrix Partners"
Checkout.com,$40B,5/2/19,Fintech,London,United Kingdom,Europe,2012,$2B,"Tiger Global Management, Insight Partners, DST Global"
Instacart,$39B,12/30/14,"Supply chain, logistics, & delivery",San Francisco,United States,North America,2012,$3B,"Khosla Ventures, Kleiner Perkins Caufield & Byers, Collaborative Fund"
JUUL Labs,$38B,12/20/17,Consumer & retail,San Francisco,United States,North America,2015,$14B,Tiger Global Management
Databricks,$38B,2/5/19,Data management & analytics,San Francisco,United States,North America,2013,$3B,"Andreessen Horowitz, New Enterprise Associates, Battery Ventures"
Revolut,$33B,4/26/18,Fintech,London,United Kingdom,Europe,2015,$2B,"index Ventures, DST Global, Ribbit Capital"
Epic Games,$32B,10/26/18,Other,Cary,United States,North America,1991,$7B,"Tencent Holdings, KKR, Smash Ventures"
FTX,$32B,7/20/21,Fintech,,Bahamas,North America,2018,$2B,"Sequoia Capital, Thoma Bravo, Softbank"
Fanatics,$27B,6/6/12,E-commerce & direct-to-consumer,Jacksonville,United States,North America,2002,$4B,"SoftBank Group, Andreessen Horowitz, Temasek Holdings"
Chime,$25B,3/5/19,Fintech,San Francisco,United States,North America,2013,$2B,"Forerunner Ventures, Crosslink Capital, Homebrew"
BYJU's,$22B,7/25/17,Edtech,Bengaluru,India,Asia,2008,$4B,"Tencent Holdings, Lightspeed India Partners, Sequoia Capital India"
J&T Express,$20B,4/7/21,"Supply chain, logistics, & delivery",Jakarta,Indonesia,Asia,2015,$5B,"Hillhouse Capital Management, Boyu Capital, Sequoia Capital China"
Xiaohongshu,$20B,3/31/16,E-commerce & direct-to-consumer,Shanghai,China,Asia,2013,$918M,"GGV Capital, ZhenFund, Tencent"
Miro,$18B,1/5/22,Internet software & services,San Francisco,United States,North America,2011,$476M,"Accel, AltaIR Capital, Technology Crossover Ventures"
Yuanfudao,$17B,5/31/17,Edtech,Beijing,China,Asia,2012,$4B,"Tencent Holdings, Warbug Pincus, IDG Capital"
Rapyd,$15B,12/3/19,Fintech,London,United Kingdom,Europe,2016,$770M,"Target Global, General Catalyst, Durable Capital Partners"
Discord,$15B,4/20/18,Internet software & services,San Francisco,United States,North America,2012,$979M,"Benchmark, Greylock Partners, Tencent Holdings"
Genki Forest,$15B,3/1/20,Consumer & retail,Beijing,China,Asia,2016,$721M,"Sequoia Capital China, Longfor Capitalm, Gaorong Capital"
goPuff,$15B,10/8/20,E-commerce & direct-to-consumer,Philadelphia,United States,North America,2013,$3B,"Accel, Softbank Group, Anthos Capital"
Blockchain.com,$14B,2/17/21,Fintech,London,United Kingdom,Europe,2011,$490M,"Lightspeed Venture Partners, Google Ventures, Lakestar"
Plaid,$13B,12/11/18,Fintech,San Francisco,United States,North America,2012,$734M,"New Enterprise Associates, Spar Capital, Index Ventures"
Devoted Health,$13B,10/16/18,Health,Waltham,United States,North America,2017,$2B,"Andreessen Horowitz, F-Prime Capital, Venrock"
OpenSea,$13B,7/20/21,E-commerce & direct-to-consumer,New York,United States,North America,2017,$427M,"Andreessen Horowitz, Thirty Five Ventures, Sound Ventures"
Grammarly,$13B,10/10/19,Internet software & services,San Francisco,United States,North America,2009,$400M,"General Catalyst, Institutional Venture Partners, Breyer Capital"
Argo AI,$12B,7/12/19,Artificial intelligence,Pittsburgh,United States,North America,2016,$4B,"Volkswagen Group, Ford Autonomous Vehicles"
Northvolt,$12B,6/12/19,Other,Stockholm,Sweden,Europe,2016,$4B,"Vattenfall, Volkswagen Group, Goldman Sachs"
Faire,$12B,10/30/19,Artificial intelligence,San Francisco,United States,North America,2017,$1B,"Khosla Ventures, Forerunner Ventures, Sequoia Capital"
Airtable,$12B,11/15/18,Internet software & services,San Francisco,United States,North America,2013,$1B,"Caffeinated Capital, CRV, Founder Collective"
Brex,$12B,10/5/18,Fintech,San Francisco,United States,North America,2017,$1B,"DST Global, Ribbit Capital, Greenoaks Capital Management"
Getir,$12B,3/26/21,E-commerce & direct-to-consumer,Istanbul,Turkey,Europe,2015,$2B,"Tiger Global Management, Sequoia Capital, Revo Capital"
Biosplice Therapeutics,$12B,8/6/18,Health,San Diego,United States,North America,2008,$799M,"Vickers Venture Partners, IKEA GreenTech"
Bitmain,$12B,7/6/18,Hardware,Beijing,China,Asia,2015,$765M,"Coatue Management, Sequoia Capital China, IDG Capital"
GoodLeap,$12B,10/13/21,Internet software & services,Roseville,United States,North America,2003,$800M,"New Enterprise Associates, BDT Capital Partners, Davidson Kempner Capital Management"
Xingsheng Selected,$12B,7/22/20,E-commerce & direct-to-consumer,Changsha,China,Asia,2009,$5B,"KKR, Tencent Holdings, Sequoia Capital China"
ZongMu Technology,$11B,6/3/21,Auto & transportation,Shanghai,China,Asia,2013,$376M,"LTW Capital, Legend Capital, Qualcomm Ventures"
Bolt,$11B,5/29/18,Auto & transportation,Tallinn,Estonia,Europe,2013,$1B,"Didi Chuxing, Diamler, TMT Investments"
Swiggy,$11B,6/21/18,"Supply chain, logistics, & delivery",Bengaluru,India,Asia,2014,$5B,"Accel India, SAIF Partners, Norwest Venture Partners"
Weilong Foods,$11B,5/8/21,Consumer & retail,Luohe,China,Asia,1999,$558M,"Tencent Holdings, Hillhouse Capital Management, Yunfeng Capital"
Global Switch,$11B,12/22/16,Hardware,London,United Kingdom,Europe,1998,$5B,"Aviation Industry Corporation of China, Essence Financial, Jiangsu Sha Steel Group"
Bolt,$11B,10/8/21,Fintech,San Francisco,United States,North America,2014,$1B,"Activant Capital, Tribe Capital, General Atlantic"
Celonis,$11B,6/26/18,Data management & analytics,Munich,Germany,Europe,2011,$1B,"Accel, 83North"
Zuoyebang,$10B,7/18/18,Edtech,Beijing,China,Asia,2014,$3B,"Sequoia Capital China, Xiang He Capital, GGV Capital"
Ripple,$10B,12/20/19,Fintech,San Francisco,United States,North America,2012,$294M,"IDG Capital, Venture51, Lightspeed Venture Partners"
OYO Rooms,$10B,9/25/18,Travel,Gurugram,India,Asia,2012,$3B,"SoftBank Group, Sequoia Capital India,Lightspeed India Partners"
OutSystems,$10B,6/5/18,Internet software & services,Boston,United States,North America,2001,$572M,"KKR, ES Ventures, North Bridge Growth Equity"
ServiceTitan,$10B,11/14/18,Internet software & services,Glendale,United States,North America,2012,$1B,"Bessemer Venture Partners, ICONIQ Capital, Battery Ventures"
Alchemy,$10B,10/28/21,Fintech,San Francisco,United States,North America,2017,$564M,"DFJ Growth Fund, Coatue Management, Addition"
Chehaoduo,$10B,3/12/16,E-commerce & direct-to-consumer,Beijing,China,Asia,2015,$4B,"Sequoia Capital China, GX Capital"
Digital Currency Group,$10B,11/1/21,Fintech,New York,United States,North America,2015,$1B,"Ribbit Capital, capitalG, Softbank Group"
Figma,$10B,4/30/20,Internet software & services,San Francisco,United States,North America,2012,$333M,"Index Ventures, Greylock Partners, Kleiner Perkins Caufield & Byers"
Gusto,$10B,12/18/15,Fintech,San Francisco,United States,North America,2011,$691M,"General Catalyst Partners, Google Ventures, Kleiner Perkins Caufield & Byers"
Lalamove,$10B,2/21/19,"Supply chain, logistics, & delivery",Cheung Sha Wan,Hong Kong,Asia,2013,$2B,"MindWorks Ventures, Shunwei Capital Partners, Xiang He Capital"
Notion Labs,$10B,4/1/20,Internet software & services,San Francisco,United States,North America,2016,$343M,"Index Ventures, Draft Ventures, Felicis Ventures"
reddit,$10B,7/31/17,Internet software & services,San Francisco,United States,North America,2005,$1B,"Y Combinator, Sequoia Capital, Coatue Management"
Talkdesk,$10B,10/3/18,Internet software & services,San Francisco,United States,North America,2011,$497M,"DJF, Salesforce Ventures, Storm Ventures"
Thrasio,$10B,7/15/20,Other,Walpole,United States,North America,2018,$2B,"Upper90, RiverPark Ventures, Advent International"
Dunamu,$9B,7/22/21,Fintech,Seoul,South Korea,Asia,2012,$71M,"Qualcomm Ventures, Woori Investment, Hanwha Investment & Securities"
Yanolja,$9B,6/10/19,Travel,Seoul,South Korea,Asia,2005,$2B,"SBI Investment Korea, Partners Investment, GIC"
