date,number_of_strikes,center_point_geom
2016-08-05,16,POINT(-101.5 24.7)
2016-08-05,16,POINT(-85 34.3)
2016-08-05,16,POINT(-89 41.4)
2016-08-05,16,POINT(-89.8 30.7)
2016-08-05,16,POINT(-86.2 37.9)
2016-08-05,16,POINT(-97.8 38.9)
2016-08-05,16,POINT(-81.9 36)
2016-08-05,16,POINT(-90.9 36.7)
2016-08-05,16,POINT(-106.6 26.1)
2016-08-05,16,POINT(-108 31.6)
2016-08-06,16,POINT(-102.7 36.6)
2016-08-06,16,POINT(-106 24.9)
2016-08-06,16,POINT(-90 33.2)
2016-08-06,16,POINT(-90.4 30)
2016-08-06,16,POINT(-104.1 36.3)
2016-08-06,16,POINT(-88.5 34.8)
2016-08-06,16,POINT(-78.5 30.6)
2016-08-06,16,POINT(-107.7 29.2)
2016-08-06,16,POINT(-84.1 22.8)
2016-08-06,16,POINT(-108.5 32.5)
2016-08-06,16,POINT(-104.8 35.6)
2016-08-06,16,POINT(-74 35.2)
2016-08-06,16,POINT(-108.1 41.2)
2016-08-06,16,POINT(-108.5 27)
2016-08-06,16,POINT(-86.2 36.9)
2016-08-06,16,POINT(-106.5 33.8)
2016-08-06,16,POINT(-67.6 35.5)
2016-08-06,16,POINT(-77.7 31.5)
2016-08-06,16,POINT(-94.5 32.6)
2016-08-07,16,POINT(-93.1 31)
2016-08-07,16,POINT(-85.5 31.3)
2016-08-07,16,POINT(-89.2 28.2)
2016-08-07,16,POINT(-93.7 34.5)
2016-08-07,16,POINT(-107.1 27)
2016-08-07,16,POINT(-85.2 30.2)
2016-08-07,16,POINT(-110.9 39.3)
2016-08-07,16,POINT(-102.3 25)
2016-08-07,16,POINT(-83.6 28.2)
2016-08-07,16,POINT(-74.8 35.7)
2016-08-07,16,POINT(-108 28.6)
2016-08-07,16,POINT(-106.6 31.4)
2016-08-07,16,POINT(-111.1 44.1)
2016-08-07,16,POINT(-84.4 31.5)
2016-08-07,16,POINT(-107.1 32.9)
2016-08-07,16,POINT(-109.1 43.7)
2016-08-07,16,POINT(-77.3 26.4)
2016-08-07,16,POINT(-89.7 30.3)
2016-08-07,16,POINT(-106 34.1)
2016-08-07,16,POINT(-99.7 20.4)
2016-08-07,16,POINT(-86.6 33.8)
2016-08-07,16,POINT(-77.3 20.8)
2016-08-08,16,POINT(-81.7 34.9)
2016-08-08,16,POINT(-105.5 42)
2016-08-08,16,POINT(-99.6 33.4)
2016-08-08,16,POINT(-88.7 32.9)
2016-08-08,16,POINT(-105.9 45.1)
2016-08-08,16,POINT(-96.3 34.5)
2016-08-08,16,POINT(-95 38.2)
2016-08-08,16,POINT(-108.4 34.6)
2016-08-08,16,POINT(-86.3 31.7)
2016-08-08,16,POINT(-105.8 44.6)
2016-08-08,16,POINT(-78.7 28)
2016-08-08,16,POINT(-89.9 28.8)
2016-08-08,16,POINT(-77.5 35.4)
2016-08-08,16,POINT(-88.4 31.3)
2016-08-08,16,POINT(-86.3 32.3)
2016-08-08,16,POINT(-105.4 36.8)
2016-08-08,16,POINT(-105.9 47.1)
2016-08-08,16,POINT(-93.1 32.8)
2016-08-08,16,POINT(-81.5 24.9)
2016-08-08,16,POINT(-109.2 34)
2016-08-08,16,POINT(-106.4 30.3)
2016-08-08,16,POINT(-93.9 32.6)
2016-08-08,16,POINT(-88.6 32.1)
2016-08-08,16,POINT(-104.5 31.3)
2016-08-08,16,POINT(-98.2 36.3)
2016-08-08,16,POINT(-101.5 36.3)
2016-08-08,16,POINT(-86 35.1)
2016-08-09,16,POINT(-102.1 44.2)
2016-08-09,16,POINT(-104 28.9)
2016-08-09,16,POINT(-102.5 34.2)
2016-08-09,16,POINT(-105 37.2)
2016-08-09,16,POINT(-110.2 34.7)
2016-08-09,16,POINT(-82.2 27.2)
2016-08-09,16,POINT(-110.2 29.7)
2016-08-09,16,POINT(-106.3 39.8)
2016-08-09,16,POINT(-93.9 35.3)
2016-08-09,16,POINT(-104.3 31.8)
2016-08-09,16,POINT(-87.9 26.7)
2016-08-09,16,POINT(-109.6 31)
2016-08-09,16,POINT(-87.9 34.8)
2016-08-09,16,POINT(-103 24.8)
2016-08-09,16,POINT(-102.1 34.5)
2016-08-09,16,POINT(-111.5 33.5)
2016-08-09,16,POINT(-89.5 31.5)
2016-08-09,16,POINT(-108.6 29.2)
2016-08-09,16,POINT(-73 27.9)
2016-08-09,16,POINT(-74.8 25.8)
2016-08-09,16,POINT(-103.9 33.2)
2016-08-09,16,POINT(-103.8 43.6)
