date,center_point_geom,longitude,latitude,number_of_strikes
2018-08-01,POINT(-81.6 22.6),-81.6,22.600000000000005,48
2018-08-01,POINT(-81.1 22.6),-81.1,22.6,32
2018-08-01,POINT(-80.9 22.6),-80.9,22.600000000000005,118
2018-08-01,POINT(-80.8 22.6),-80.8,22.600000000000005,69
2018-08-01,POINT(-98.4 22.8),-98.4,22.8,44
2018-08-01,POINT(-81 22.7),-81.0,22.700000000000003,36
2018-08-01,POINT(-98.4 22.7),-98.4,22.7,110
2018-08-01,POINT(-81.1 22.7),-81.1,22.7,48
2018-08-01,POINT(-80.9 22.7),-80.9,22.7,71
2018-08-01,POINT(-85.7 26.4),-85.7,26.4,29
2018-08-01,POINT(-81.1 22.8),-81.1,22.8,59
2018-08-01,POINT(-92 26.5),-92.0,26.5,49
2018-08-01,POINT(-96.2 26.5),-96.2,26.5,47
2018-08-01,POINT(-90.8 22.9),-90.8,22.9,47
2018-08-01,POINT(-85.8 26.5),-85.8,26.5,28
2018-08-01,POINT(-85.4 26.5),-85.4,26.5,44
2018-08-01,POINT(-107.8 26.4),-107.8,26.4,26
2018-08-01,POINT(-99 26.6),-99.0,26.6,26
2018-08-01,POINT(-83 26.6),-83.0,26.600000000000005,25
2018-08-01,POINT(-95.5 26.5),-95.5,26.5,23
2018-08-01,POINT(-93.3 26.5),-93.3,26.5,32
2018-08-01,POINT(-92.9 26.5),-92.9,26.5,32
2018-08-01,POINT(-92.8 26.5),-92.8,26.5,31
2018-08-01,POINT(-92.7 26.5),-92.7,26.5,46
2018-08-01,POINT(-92.6 26.5),-92.6,26.5,152
2018-08-01,POINT(-91.9 26.5),-91.9,26.5,57
2018-08-01,POINT(-91.3 26.5),-91.3,26.5,26
2018-08-01,POINT(-112 30.8),-112.0,30.8,41
2018-08-01,POINT(-82.2 30.8),-82.2,30.799999999999997,57
2018-08-01,POINT(-81.7 30.8),-81.7,30.8,44
2018-08-01,POINT(-81.6 30.8),-81.6,30.799999999999997,25
2018-08-01,POINT(-81.2 26.5),-81.2,26.5,51
2018-08-01,POINT(-112.1 26.5),-112.1,26.5,72
2018-08-01,POINT(-81.7 30.9),-81.7,30.89999999999999,76
2018-08-01,POINT(-81.6 30.9),-81.6,30.9,134
2018-08-01,POINT(-112.6 30.9),-112.6,30.89999999999999,29
2018-08-01,POINT(-112.3 30.9),-112.3,30.9,40
2018-08-01,POINT(-112.2 30.9),-112.2,30.9,55
2018-08-01,POINT(-112.1 30.9),-112.1,30.9,76
2018-08-01,POINT(-97.3 26.6),-97.3,26.6,28
2018-08-01,POINT(-96.4 26.6),-96.4,26.6,36
2018-08-01,POINT(-96.3 26.6),-96.3,26.6,26
2018-08-01,POINT(-92.9 26.6),-92.9,26.600000000000005,41
2018-08-01,POINT(-92.6 26.6),-92.6,26.6,61
2018-08-01,POINT(-81.8 31.2),-81.8,31.2,62
2018-08-01,POINT(-112.1 30.8),-112.1,30.8,28
2018-08-01,POINT(-111.9 30.8),-111.9,30.8,48
2018-08-01,POINT(-112 30.9),-112.0,30.9,46
2018-08-01,POINT(-82.2 30.9),-82.2,30.9,35
2018-08-01,POINT(-82.1 30.9),-82.1,30.9,53
2018-08-01,POINT(-81.9 31.1),-81.9,31.1,25
2018-08-01,POINT(-81.8 31.1),-81.8,31.1,52
2018-08-01,POINT(-81.7 31.1),-81.7,31.1,34
2018-08-01,POINT(-118.9 37.2),-118.9,37.2,28
2018-08-01,POINT(-81.8 31.3),-81.8,31.3,86
2018-08-01,POINT(-104.5 37.3),-104.5,37.3,23
2018-08-01,POINT(-91.2 44.9),-91.2,44.9,36
2018-08-01,POINT(-91.6 44.8),-91.6,44.8,28
2018-08-01,POINT(-89.7 44.8),-89.7,44.8,52
2018-08-01,POINT(-89.6 44.8),-89.6,44.8,26
2018-08-01,POINT(-91.3 45.1),-91.3,45.1,25
2018-08-01,POINT(-81.3 22.9),-81.3,22.9,26
2018-08-01,POINT(-81.1 22.9),-81.1,22.9,53
2018-08-01,POINT(-98.3 23.1),-98.3,23.1,138
2018-08-01,POINT(-90.7 23.1),-90.7,23.1,23
2018-08-01,POINT(-86.6 22.9),-86.6,22.9,23
2018-08-01,POINT(-82.9 23.1),-82.9,23.1,65
2018-08-01,POINT(-81.9 23.1),-81.9,23.1,33
2018-08-01,POINT(-81.2 23.1),-81.2,23.1,44
2018-08-01,POINT(-98.3 23.2),-98.3,23.2,84
2018-08-01,POINT(-98.2 23.2),-98.2,23.2,51
2018-08-01,POINT(-90.5 23.2),-90.5,23.2,34
2018-08-01,POINT(-86.8 23.1),-86.8,23.1,26
2018-08-01,POINT(-82.4 23.2),-82.4,23.2,23
2018-08-01,POINT(-82.2 23.2),-82.2,23.2,23
2018-08-01,POINT(-80.8 23.2),-80.8,23.2,34
2018-08-01,POINT(-91.2 26.6),-91.2,26.6,26
2018-08-01,POINT(-91.1 26.6),-91.1,26.600000000000005,23
2018-08-01,POINT(-89.7 26.6),-89.7,26.600000000000005,33
2018-08-01,POINT(-89.6 26.6),-89.6,26.6,28
2018-08-01,POINT(-82 23.2),-82.0,23.2,42
2018-08-01,POINT(-81.3 26.6),-81.3,26.6,56
2018-08-01,POINT(-81.2 26.6),-81.2,26.600000000000005,44
2018-08-01,POINT(-112.2 26.6),-112.2,26.6,29
2018-08-01,POINT(-87.1 23.2),-87.10000000000001,23.2,58
2018-08-01,POINT(-86.8 23.2),-86.8,23.2,69
2018-08-01,POINT(-97.3 26.7),-97.3,26.7,86
2018-08-01,POINT(-96.1 26.7),-96.1,26.7,29
2018-08-01,POINT(-85.8 26.6),-85.8,26.6,36
2018-08-01,POINT(-89.6 26.7),-89.6,26.7,33
2018-08-01,POINT(-89.4 26.7),-89.4,26.7,49
2018-08-01,POINT(-89.3 26.7),-89.30000000000001,26.7,47
2018-08-01,POINT(-87.6 26.7),-87.6,26.7,39
2018-08-01,POINT(-85.3 26.7),-85.3,26.7,23
2018-08-01,POINT(-84.6 26.7),-84.6,26.7,47
2018-08-01,POINT(-91 26.7),-91.0,26.7,29
2018-08-01,POINT(-106.5 26.7),-106.5,26.7,50
2018-08-01,POINT(-82.6 31.4),-82.60000000000001,31.4,28
2018-08-01,POINT(-82.4 31.4),-82.4,31.4,31
2018-08-01,POINT(-81.8 31.4),-81.8,31.4,37
