#,claim_status,video_id,video_duration_sec,video_transcription_text,verified_status,author_ban_status,video_view_count,video_like_count,video_share_count,video_download_count,video_comment_count,likes_per_view,comments_per_view,shares_per_view
1,claim,7017666017,59,someone shared with me that drone deliveries are already happening and will become common by 2025,not verified,under review,343296.0,19425.0,241.0,1.0,0.0,0.05658382270693512,0.0,0.0007020180835197614
2,claim,4014381136,32,someone shared with me that there are more microorganisms in one teaspoon of soil than people on the planet,not verified,active,140877.0,77355.0,19034.0,1161.0,684.0,0.5490960199322813,0.004855299303647863,0.13511077038835295
3,claim,9859838091,31,"someone shared with me that american industrialist andrew carnegie had a net worth of $475 million usd, worth over $300 billion usd today",not verified,active,902185.0,97690.0,2858.0,833.0,329.0,0.10828156087720368,0.0003646702173057632,0.003167864684072557
4,claim,1866847991,25,"someone shared with me that the metro of st. petersburg, with an average depth of hundred meters, is the deepest metro in the world",not verified,active,437506.0,239954.0,34812.0,1234.0,584.0,0.5484587639940938,0.0013348388364959566,0.07956919447961856
5,claim,7105231098,19,someone shared with me that the number of businesses allowing employees to bring pets to the workplace has grown by 6% worldwide,not verified,active,56167.0,34987.0,4110.0,547.0,152.0,0.6229102497908025,0.0027062153933804546,0.07317463991311625
6,claim,8972200955,35,someone shared with me that gross domestic product (gdp) is the best financial indicator of a country's overall trade potential,not verified,under review,336647.0,175546.0,62303.0,4293.0,1857.0,0.5214542235635548,0.005516163815510015,0.18506922681621996
7,claim,4958886992,16,someone shared with me that elvis presley has sold more records than the music band the beatles,not verified,active,750345.0,486192.0,193911.0,8616.0,5446.0,0.6479579393478999,0.0072579946557916695,0.25842912260360235
8,claim,2270982263,41,"someone shared with me that the best selling single of all time is ""white christmas"" by bing crosby",not verified,active,547532.0,1072.0,50.0,22.0,11.0,0.0019578764346193465,2.0090149982101502e-05,9.131886355500684e-05
9,claim,5235769692,50,someone shared with me that about half of the world's population can access the web via a mobile device,not verified,active,24819.0,10160.0,1050.0,53.0,27.0,0.4093637938676014,0.0010878762238607518,0.04230629759458479
10,claim,4660861094,45,someone shared with me that it would take a 50 petabyte drive to store every written work ever created,verified,active,931587.0,171051.0,67739.0,4104.0,2540.0,0.18361248063787924,0.0027265301040053157,0.07271355225008506
11,claim,8095102436,47,someone shared with me that an average user spends 40% of their day on the internet,not verified,active,695641.0,238030.0,23062.0,1719.0,378.0,0.34217362116378996,0.0005433837281011326,0.03315215750652995
12,claim,4507218541,30,someone shared with me that the world generates 2.5 quintillion bytes of data every day,not verified,active,482046.0,168107.0,19474.0,3282.0,532.0,0.34873642764383483,0.0011036291142339112,0.040398634155246596
13,claim,3609761483,51,someone shared with me that the longest recorded cricket match lasted 14 days,not verified,active,700081.0,434565.0,97995.0,2408.0,1411.0,0.62073531491356,0.0020154810657623903,0.13997665984364666
14,claim,3850678773,20,"someone shared with me that 1920 was the last time the event ""tug-of-war"" was played in the summer olympics",not verified,under review,929685.0,497236.0,154917.0,1225.0,805.0,0.5348435222682951,0.0008658846813705718,0.1666338598557576
15,claim,1656032315,42,someone shared with me that american basketball legend wilt chamberlain never fouled out of a game,not verified,active,937231.0,237318.0,81496.0,1867.0,960.0,0.25321185492157217,0.0010242939040642062,0.08695401667251723
16,claim,9277685719,10,"someone shared with me that the city with the largest bus network in the world is jakarta, indonesia",not verified,active,746186.0,193.0,29.0,2.0,0.0,0.0002586486479242441,0.0,3.886430461037865e-05
17,claim,9346511024,11,someone shared with me that a dog’s sense of smell is much more powerful than a human's,not verified,active,923007.0,67714.0,17710.0,845.0,536.0,0.07336239053441632,0.0005807106554988207,0.019187286770306185
18,claim,9533847147,27,"someone shared with me that a common garden snail has over 12,000 teeth",not verified,active,467702.0,40435.0,2804.0,495.0,327.0,0.08645462281538245,0.0006991631423427738,0.005995270492749657
19,claim,2359906270,11,someone shared with me that we only see the same side of the moon,not verified,active,168594.0,105245.0,37929.0,1723.0,694.0,0.6242511595904955,0.004116397973830623,0.2249724189472935
20,claim,7146819625,34,someone shared with me that the moon was once part of the earth,not verified,active,249935.0,20437.0,2240.0,212.0,70.0,0.08176926000760197,0.0002800728189329226,0.008962330205853523
21,claim,3827012052,27,someone shared with me that neptune radiates more heat than it gets from the sun,not verified,active,550259.0,30528.0,6704.0,258.0,88.0,0.055479328825153246,0.00015992469000961366,0.012183353657096023
22,claim,6940114042,20,someone shared with me that there are more stars in the universe than grains of sand on earth,not verified,active,510989.0,162612.0,26745.0,2507.0,1283.0,0.31822994232752566,0.002510817258297145,0.05233967854493932
23,claim,7986031283,52,"someone shared with me that about once a year, an asteroid the size of a car enters earth’s atmosphere",not verified,banned,60096.0,34245.0,11345.0,219.0,77.0,0.5698382587859425,0.001281283280085197,0.1887812832800852
24,claim,5733649579,54,"someone shared with me that through the seasons, a reindeer’s eyes will change color",not verified,active,750942.0,136252.0,27119.0,2637.0,1206.0,0.1814414428810747,0.0016059828854958172,0.036113308351377334
