ID,label,sessions,drives,total_sessions,n_days_after_onboarding,total_navigations_fav1,total_navigations_fav2,driven_km_drives,duration_minutes_drives,activity_days,driving_days,device
0,retained,283,226,296.7482729,2276,208,0,2628.845068,1985.775061,28,19,Android
1,retained,133,107,326.8965962,1225,19,64,13715.92055,3160.472914,13,11,iPhone
2,retained,114,95,135.5229263,2651,0,0,3059.148818,1610.735904,14,8,Android
3,retained,49,40,67.58922127,15,322,7,913.5911231,587.1965423,7,3,iPhone
4,retained,84,68,168.2470201,1562,166,5,3950.202008,1219.555924,27,18,Android
5,retained,113,103,279.5444373,2637,0,0,901.2386985,439.1013973,15,11,iPhone
6,retained,3,2,236.7253142,360,185,18,5249.172828,726.5772047,28,23,iPhone
7,retained,39,35,176.0728446,2999,0,0,7892.052468,2466.981741,22,20,iPhone
8,retained,57,46,183.5320177,424,0,26,2651.709764,1594.342984,25,20,Android
9,churned,84,68,244.8021148,2997,72,0,6043.460295,2341.838528,7,3,iPhone
10,retained,23,20,117.2257719,1946,0,36,8554.91444,5352.56772,9,9,iPhone
11,retained,125,100,357.1790311,487,3,7,2284.819767,1034.651333,1,1,iPhone
12,retained,51,41,109.8818549,2760,64,0,2512.308716,1717.268618,12,12,iPhone
13,retained,80,64,132.8305064,3154,39,16,8531.24807,6324.273457,1,0,Android
14,churned,72,66,401.3518086,2524,54,24,5922.811202,2227.280393,0,0,Android
15,retained,23,22,95.2921595,50,193,0,2188.829771,1775.713499,11,10,iPhone
16,retained,30,25,41.53837224,1554,61,19,1213.549279,949.1301246,17,13,Android
17,churned,272,219,564.2714848,88,0,90,3529.33898,2078.426838,11,11,Android
18,retained,48,38,259.0657534,2077,131,11,9140.608725,4922.692428,10,3,Android
19,retained,106,98,170.9254705,87,0,6,8566.541401,2534.595126,22,20,iPhone
20,retained,52,42,144.7141026,2937,306,0,1601.896284,951.8891394,7,7,iPhone
21,retained,148,119,168.8281397,501,77,28,2170.296817,551.9648276,21,21,iPhone
22,churned,73,60,118.8088122,1607,254,92,2653.436921,400.7073101,16,16,iPhone
23,churned,29,23,33.13702884,2188,338,0,4283.503913,654.5190065,2,2,iPhone
24,retained,3,3,50.32821361,1084,63,23,2274.207173,1650.575799,16,10,Android
25,retained,0,0,139.194969,2731,13,4,5702.339466,4582.737478,6,2,Android
26,retained,132,106,160.2585518,112,199,28,4828.974928,3178.144689,13,9,Android
27,churned,5,5,215.8764605,2465,412,0,925.0304742,490.5346749,16,8,iPhone
28,retained,64,54,80.76829058,1635,81,0,2723.495224,1546.790177,2,2,iPhone
29,retained,57,46,60.0376594,1732,429,95,1443.441103,589.9503158,27,21,Android
30,retained,78,66,484.5716429,2381,106,21,10573.01978,6978.070441,31,26,iPhone
31,retained,46,37,98.15654833,2938,372,26,4042.105947,1404.569949,22,17,iPhone
32,retained,38,34,62.74575283,1940,313,12,4668.226427,1066.10387,24,20,iPhone
33,retained,291,233,568.7227649,275,39,9,2578.7202,1703.292389,15,15,iPhone
